X_Value,Voltage
0.342,0.000701
0.3425,0.000764
0.343,0.000874
0.3435,0.000812
0.344,0.00089
0.3445,0.000899
0.345,0.000974
0.3455,0.0011
0.346,0.001059
0.3465,0.001059
0.347,0.001174
0.3475,0.001158
0.348,0.001253
0.3485,0.001275
0.349,0.001309
0.3495,0.001336
0.35,0.00146
0.3505,0.001468
0.351,0.001548
0.3515,0.001531
0.352,0.001573
0.3525,0.001643
0.353,0.001738
0.3535,0.00177
0.354,0.001792
0.3545,0.00181
0.355,0.001858
0.3555,0.001907
0.356,0.001981
0.3565,0.001921
0.357,0.001977
0.3575,0.00203
0.358,0.002123
0.3585,0.002086
0.359,0.002165
0.3595,0.002204
0.36,0.002268
0.3605,0.002269
0.361,0.002292
0.3615,0.00233
0.362,0.00237
0.3625,0.002433
0.363,0.002478
0.3635,0.002419
0.364,0.002463
0.3645,0.002514
0.365,0.002524
0.3655,0.002582
0.366,0.002579
0.3665,0.002582
0.367,0.002637
0.3675,0.002683
0.368,0.002736
0.3685,0.00271
0.369,0.002726
0.3695,0.002739
0.37,0.002771
0.3705,0.002795
0.371,0.002803
0.3715,0.002825
0.372,0.002841
0.3725,0.002846
0.373,0.002842
0.3735,0.00284
0.374,0.002878
0.3745,0.002882
0.375,0.002867
0.3755,0.002878
0.376,0.002901
0.3765,0.002879
0.377,0.002926
0.3775,0.00297
0.378,0.003001
0.3785,0.002959
0.379,0.002927
0.3795,0.003004
0.38,0.002936
0.3805,0.002936
0.381,0.002919
0.3815,0.002845
0.382,0.002872
0.3825,0.00286
0.383,0.002869
0.3835,0.00284
0.384,0.002805
0.3845,0.00281
0.385,0.002792
0.3855,0.002822
0.386,0.002828
0.3865,0.002786
0.387,0.002783
0.3875,0.002734
0.388,0.002676
0.3885,0.002657
0.389,0.002572
0.3895,0.002597
0.39,0.002574
0.3905,0.002531
0.391,0.002528
0.3915,0.002484
0.392,0.002444
0.3925,0.002398
0.393,0.002372
0.3935,0.002385
0.394,0.002368
0.3945,0.002393
0.395,0.002332
0.3955,0.002311
0.396,0.002274
0.3965,0.002253
0.397,0.002192
0.3975,0.002212
0.398,0.00213
0.3985,0.002093
0.399,0.002048
0.3995,0.002007
0.4,0.001899
0.4005,0.001857
0.401,0.001864
0.4015,0.001814
0.402,0.001776
0.4025,0.001726
0.403,0.00169
0.4035,0.001604
0.404,0.001555
0.4045,0.001589
0.405,0.001481
0.4055,0.001534
0.406,0.001452
0.4065,0.001377
0.407,0.001305
0.4075,0.001263
0.408,0.001249
0.4085,0.001164
0.409,0.001163
0.4095,0.001094
0.41,0.001042
0.4105,0.001022
0.411,0.00096
0.4115,0.000914
0.412,0.000809
0.4125,0.000808
0.413,0.000794
0.4135,0.000764
0.414,0.000721
0.4145,0.000752
0.415,0.000678
0.4155,0.000706
0.416,0.000612
0.4165,0.000579
0.417,0.000501
0.4175,0.000434
0.418,0.000407
0.4185,0.000359
0.419,0.000357
0.4195,0.000274
0.42,0.000239
0.4205,0.000224
0.421,0.000193
0.4215,0.000111
0.422,0.000127
0.4225,6.53E-05
0.423,7.38E-05
0.4235,3.04E-06
0.424,-9.28E-06
0.4245,-5.99E-05
0.425,-4.30E-05
0.4255,-1.97E-05
0.426,-0.00012
0.4265,-0.000122
0.427,-0.000225
0.4275,-0.000267
0.428,-0.000279
0.4285,-0.000255
0.429,-0.000274
0.4295,-0.000299
0.43,-0.000397
0.4305,-0.000373
0.431,-0.000401
0.4315,-0.000412
0.432,-0.000401
0.4325,-0.000465
0.433,-0.000453
0.4335,-0.000478
0.434,-0.000465
0.4345,-0.000443
0.435,-0.000423
0.4355,-0.000438
0.436,-0.000465
0.4365,-0.00045
0.437,-0.000485
0.4375,-0.000514
0.438,-0.000537
0.4385,-0.000507
0.439,-0.000508
0.4395,-0.000478
0.44,-0.000556
0.4405,-0.000522
0.441,-0.000559
0.4415,-0.000504
0.442,-0.000544
0.4425,-0.000493
0.443,-0.000524
0.4435,-0.000548
0.444,-0.000491
0.4445,-0.000476
0.445,-0.000452
0.4455,-0.000429
0.446,-0.000447
0.4465,-0.000428
0.447,-0.000391
0.4475,-0.000422
0.448,-0.000388
0.4485,-0.000457
0.449,-0.000377
0.4495,-0.000323
0.45,-0.000286
0.4505,-0.000242
0.451,-0.000206
0.4515,-0.000223
0.452,-0.000167
0.4525,-0.000135
0.453,-0.000134
0.4535,-0.000125
0.454,-5.21E-05
0.4545,-2.81E-05
0.455,1.10E-06
0.4555,3.16E-05
0.456,6.60E-05
0.4565,9.00E-05
0.457,0.000103
0.4575,0.00013
0.458,0.000163
0.4585,0.000212
0.459,0.000252
0.4595,0.000255
0.46,0.00033
0.4605,0.000363
0.461,0.000339
0.4615,0.000381
0.462,0.000438
0.4625,0.000474
0.463,0.000573
0.4635,0.000532
0.464,0.000576
0.4645,0.000568
0.465,0.000689
0.4655,0.000758
0.466,0.000767
0.4665,0.000793
0.467,0.000801
0.4675,0.000858
0.468,0.000891
0.4685,0.000915
0.469,0.000961
0.4695,0.001021
0.47,0.00112
0.4705,0.001153
0.471,0.001214
0.4715,0.0012
0.472,0.001327
0.4725,0.001276
0.473,0.001366
0.4735,0.001408
0.474,0.001432
0.4745,0.001518
0.475,0.001553
0.4755,0.00153
